S_no,Date,State,TotalSamples,Negative,Positive
1,4/17/2020,Andaman and Nicobar Islands,1403,1210,12
2,4/24/2020,Andaman and Nicobar Islands,2679,,27
3,4/27/2020,Andaman and Nicobar Islands,2848,,33
4,5/1/2020,Andaman and Nicobar Islands,3754,,33
5,5/16/2020,Andaman and Nicobar Islands,6677,,33
6,5/19/2020,Andaman and Nicobar Islands,6965,,33
7,5/20/2020,Andaman and Nicobar Islands,7082,,33
8,5/21/2020,Andaman and Nicobar Islands,7167,,33
9,5/22/2020,Andaman and Nicobar Islands,7263,,33
10,5/23/2020,Andaman and Nicobar Islands,7327,,33
11,5/24/2020,Andaman and Nicobar Islands,7327,,33
12,5/25/2020,Andaman and Nicobar Islands,7363,,33
13,5/26/2020,Andaman and Nicobar Islands,7448,,33
14,5/27/2020,Andaman and Nicobar Islands,7499,,33
15,5/28/2020,Andaman and Nicobar Islands,7519,,33
16,5/29/2020,Andaman and Nicobar Islands,7567,,33
17,5/30/2020,Andaman and Nicobar Islands,7567,,33
18,5/31/2020,Andaman and Nicobar Islands,7706,,33
19,6/1/2020,Andaman and Nicobar Islands,7805,,33
20,6/2/2020,Andaman and Nicobar Islands,8086,,33
21,6/3/2020,Andaman and Nicobar Islands,8295,,33
22,6/4/2020,Andaman and Nicobar Islands,8413,,33
23,6/5/2020,Andaman and Nicobar Islands,8694,,33
24,6/6/2020,Andaman and Nicobar Islands,9037,,33
25,6/7/2020,Andaman and Nicobar Islands,9242,,33
26,6/8/2020,Andaman and Nicobar Islands,9341,,33
27,6/9/2020,Andaman and Nicobar Islands,9859,,33
28,6/10/2020,Andaman and Nicobar Islands,10010,,35
29,6/11/2020,Andaman and Nicobar Islands,10226,,38
30,6/12/2020,Andaman and Nicobar Islands,10697,,38
31,6/13/2020,Andaman and Nicobar Islands,10955,,38
32,6/14/2020,Andaman and Nicobar Islands,11356,,38
33,6/15/2020,Andaman and Nicobar Islands,11518,,41
34,6/16/2020,Andaman and Nicobar Islands,11809,,44
35,6/17/2020,Andaman and Nicobar Islands,12239,,44
36,6/18/2020,Andaman and Nicobar Islands,12622,,45
37,6/19/2020,Andaman and Nicobar Islands,12930,,47
38,6/20/2020,Andaman and Nicobar Islands,13320,,47
39,6/21/2020,Andaman and Nicobar Islands,13434,,48
40,6/22/2020,Andaman and Nicobar Islands,13511,,48
41,6/23/2020,Andaman and Nicobar Islands,13723,,50
42,6/24/2020,Andaman and Nicobar Islands,13994,,56
43,6/25/2020,Andaman and Nicobar Islands,14277,,59
44,6/26/2020,Andaman and Nicobar Islands,14583,,72
45,6/27/2020,Andaman and Nicobar Islands,14851,,73
46,6/28/2020,Andaman and Nicobar Islands,15094,,83
47,6/29/2020,Andaman and Nicobar Islands,15410,,90
48,6/30/2020,Andaman and Nicobar Islands,15709,,97
49,7/1/2020,Andaman and Nicobar Islands,15982,,100
50,7/2/2020,Andaman and Nicobar Islands,16278,,109
51,7/3/2020,Andaman and Nicobar Islands,16626,,116
52,7/4/2020,Andaman and Nicobar Islands,16832,,119
53,7/5/2020,Andaman and Nicobar Islands,16909,,125
54,7/6/2020,Andaman and Nicobar Islands,17095,,141
55,7/7/2020,Andaman and Nicobar Islands,17381,,147
56,7/8/2020,Andaman and Nicobar Islands,17643,,149
57,7/9/2020,Andaman and Nicobar Islands,17852,,151
58,7/10/2020,Andaman and Nicobar Islands,18046,,156
59,7/11/2020,Andaman and Nicobar Islands,18315,,163
60,7/12/2020,Andaman and Nicobar Islands,18447,,163
61,7/13/2020,Andaman and Nicobar Islands,18609,,166
62,7/14/2020,Andaman and Nicobar Islands,18884,,171
63,7/15/2020,Andaman and Nicobar Islands,19061,,176
64,7/16/2020,Andaman and Nicobar Islands,19227,,180
65,7/17/2020,Andaman and Nicobar Islands,19421,,194
66,7/18/2020,Andaman and Nicobar Islands,19671,,198
67,7/19/2020,Andaman and Nicobar Islands,19904,,203
68,7/20/2020,Andaman and Nicobar Islands,20301,,207
69,7/21/2020,Andaman and Nicobar Islands,20642,,212
70,7/22/2020,Andaman and Nicobar Islands,21043,,221
71,7/23/2020,Andaman and Nicobar Islands,21310,,240
72,7/24/2020,Andaman and Nicobar Islands,21743,,259
73,7/25/2020,Andaman and Nicobar Islands,21965,,290
74,7/26/2020,Andaman and Nicobar Islands,22049,,324
75,7/27/2020,Andaman and Nicobar Islands,22548,,338
76,7/28/2020,Andaman and Nicobar Islands,22925,,363
77,7/29/2020,Andaman and Nicobar Islands,23217,,428
78,7/30/2020,Andaman and Nicobar Islands,23615,,471
79,7/31/2020,Andaman and Nicobar Islands,24038,,548
80,8/1/2020,Andaman and Nicobar Islands,24308,,636
81,8/2/2020,Andaman and Nicobar Islands,24580,,734
82,8/3/2020,Andaman and Nicobar Islands,25034,,830
83,8/4/2020,Andaman and Nicobar Islands,25492,,928
84,8/5/2020,Andaman and Nicobar Islands,25826,,1027
85,8/6/2020,Andaman and Nicobar Islands,26516,,1123
86,8/7/2020,Andaman and Nicobar Islands,26915,,1222
87,8/8/2020,Andaman and Nicobar Islands,27073,,1351
88,8/9/2020,Andaman and Nicobar Islands,27103,,1490
89,8/10/2020,Andaman and Nicobar Islands,27346,,1625
90,8/11/2020,Andaman and Nicobar Islands,27455,,1764
91,8/12/2020,Andaman and Nicobar Islands,27744,,1900
92,8/13/2020,Andaman and Nicobar Islands,27973,,2037
93,8/14/2020,Andaman and Nicobar Islands,28129,,2186
94,8/15/2020,Andaman and Nicobar Islands,28209,,2306
95,8/16/2020,Andaman and Nicobar Islands,28229,,2399
96,8/17/2020,Andaman and Nicobar Islands,28672,,2445
97,8/18/2020,Andaman and Nicobar Islands,28937,,2529
98,8/19/2020,Andaman and Nicobar Islands,29303,,2604
99,8/20/2020,Andaman and Nicobar Islands,29487,,2680
100,8/21/2020,Andaman and Nicobar Islands,29573,,2747
101,8/22/2020,Andaman and Nicobar Islands,29888,,2808
102,8/23/2020,Andaman and Nicobar Islands,30278,,2860
103,8/24/2020,Andaman and Nicobar Islands,30513,,2904
104,8/25/2020,Andaman and Nicobar Islands,31082,,2945
105,8/26/2020,Andaman and Nicobar Islands,31646,,2985
106,8/27/2020,Andaman and Nicobar Islands,31830,,3018
107,8/28/2020,Andaman and Nicobar Islands,32100,,3050
108,8/29/2020,Andaman and Nicobar Islands,32407,,3081
109,8/30/2020,Andaman and Nicobar Islands,32674,,3104
110,8/31/2020,Andaman and Nicobar Islands,33485,,3132
111,9/1/2020,Andaman and Nicobar Islands,35104,,3160
112,9/2/2020,Andaman and Nicobar Islands,36136,,
113,9/3/2020,Andaman and Nicobar Islands,37075,,3223
114,9/4/2020,Andaman and Nicobar Islands,37825,,3257
115,9/5/2020,Andaman and Nicobar Islands,38574,,3292
116,9/6/2020,Andaman and Nicobar Islands,39205,,3332
117,9/7/2020,Andaman and Nicobar Islands,39995,,3359
118,9/8/2020,Andaman and Nicobar Islands,41039,,3392
119,9/9/2020,Andaman and Nicobar Islands,41776,,3426
120,9/10/2020,Andaman and Nicobar Islands,42792,,3465
121,9/11/2020,Andaman and Nicobar Islands,43680,,3494
122,9/12/2020,Andaman and Nicobar Islands,44570,,3521
123,9/13/2020,Andaman and Nicobar Islands,45279,,3546
124,9/14/2020,Andaman and Nicobar Islands,45987,,3557
125,9/15/2020,Andaman and Nicobar Islands,46823,,3574
126,9/16/2020,Andaman and Nicobar Islands,47794,,3593
127,9/17/2020,Andaman and Nicobar Islands,48861,,3604
128,9/18/2020,Andaman and Nicobar Islands,50035,,3631
129,9/19/2020,Andaman and Nicobar Islands,50681,,3644
130,9/20/2020,Andaman and Nicobar Islands,51262,,3651
131,9/21/2020,Andaman and Nicobar Islands,52220,,3673
132,9/22/2020,Andaman and Nicobar Islands,52845,,3691
133,9/23/2020,Andaman and Nicobar Islands,53591,,3712
134,9/24/2020,Andaman and Nicobar Islands,52992,,3744
135,9/25/2020,Andaman and Nicobar Islands,55169,,3759
136,9/26/2020,Andaman and Nicobar Islands,56059,,3774
137,9/27/2020,Andaman and Nicobar Islands,56661,,3794
138,9/28/2020,Andaman and Nicobar Islands,57343,,3803
139,9/29/2020,Andaman and Nicobar Islands,58135,,3821
140,9/30/2020,Andaman and Nicobar Islands,58763,,3835
141,10/1/2020,Andaman and Nicobar Islands,59676,,3848
142,10/2/2020,Andaman and Nicobar Islands,60437,,3858
143,10/3/2020,Andaman and Nicobar Islands,61231,,3868
144,10/4/2020,Andaman and Nicobar Islands,62103,,3884
145,10/5/2020,Andaman and Nicobar Islands,63009,,3899
146,10/6/2020,Andaman and Nicobar Islands,63790,,3912
147,10/7/2020,Andaman and Nicobar Islands,65111,,3935
148,10/8/2020,Andaman and Nicobar Islands,66244,,3952
149,10/9/2020,Andaman and Nicobar Islands,67332,,3976
150,10/10/2020,Andaman and Nicobar Islands,68464,,3992
151,10/11/2020,Andaman and Nicobar Islands,69146,,4005
152,10/12/2020,Andaman and Nicobar Islands,69932,,4023
153,10/13/2020,Andaman and Nicobar Islands,70780,,4036
154,10/14/2020,Andaman and Nicobar Islands,71624,,4046
155,10/15/2020,Andaman and Nicobar Islands,72525,,4062
156,10/16/2020,Andaman and Nicobar Islands,73363,,4072
157,10/17/2020,Andaman and Nicobar Islands,74277,,4083
158,10/18/2020,Andaman and Nicobar Islands,75030,,4108
159,10/19/2020,Andaman and Nicobar Islands,75977,,4126
160,10/20/2020,Andaman and Nicobar Islands,77200,,4141
161,10/21/2020,Andaman and Nicobar Islands,78303,,4168
162,10/22/2020,Andaman and Nicobar Islands,79301,,4184
163,10/23/2020,Andaman and Nicobar Islands,80768,,4207
164,10/24/2020,Andaman and Nicobar Islands,81880,,4225
165,10/25/2020,Andaman and Nicobar Islands,82626,,4245
166,10/26/2020,Andaman and Nicobar Islands,83115,,4253
167,10/27/2020,Andaman and Nicobar Islands,84308,,4274
168,10/28/2020,Andaman and Nicobar Islands,85378,,4289
169,10/29/2020,Andaman and Nicobar Islands,86715,,4305
170,10/30/2020,Andaman and Nicobar Islands,87789,,4317
171,10/31/2020,Andaman and Nicobar Islands,88453,,4332
172,11/1/2020,Andaman and Nicobar Islands,89559,,4340
173,11/2/2020,Andaman and Nicobar Islands,90901,,4352
174,11/3/2020,Andaman and Nicobar Islands,92249,,4372
175,11/4/2020,Andaman and Nicobar Islands,93406,,4389
176,11/5/2020,Andaman and Nicobar Islands,94639,,4403
177,11/6/2020,Andaman and Nicobar Islands,96214,,4420
178,11/7/2020,Andaman and Nicobar Islands,97603,,4441
179,11/8/2020,Andaman and Nicobar Islands,98812,,4450
180,11/9/2020,Andaman and Nicobar Islands,100025,,4463
181,11/10/2020,Andaman and Nicobar Islands,101226,,4477
182,11/11/2020,Andaman and Nicobar Islands,102433,,4494
183,11/12/2020,Andaman and Nicobar Islands,103599,,4507
184,11/13/2020,Andaman and Nicobar Islands,104785,,4518
185,11/14/2020,Andaman and Nicobar Islands,105699,,4527
186,11/15/2020,Andaman and Nicobar Islands,106734,,4536
187,11/16/2020,Andaman and Nicobar Islands,108080,,4557
188,11/17/2020,Andaman and Nicobar Islands,109646,,4574
189,11/18/2020,Andaman and Nicobar Islands,111166,,4593
190,11/19/2020,Andaman and Nicobar Islands,112792,,4604
191,11/20/2020,Andaman and Nicobar Islands,114392,,4617
192,11/21/2020,Andaman and Nicobar Islands,115968,,4631
193,11/22/2020,Andaman and Nicobar Islands,117093,,4641
194,11/23/2020,Andaman and Nicobar Islands,118654,,4656
195,11/24/2020,Andaman and Nicobar Islands,120324,,4667
196,11/25/2020,Andaman and Nicobar Islands,121931,,4677
197,11/26/2020,Andaman and Nicobar Islands,123165,,4682
198,11/27/2020,Andaman and Nicobar Islands,124832,,4689
199,11/28/2020,Andaman and Nicobar Islands,126331,,4698
200,11/29/2020,Andaman and Nicobar Islands,127912,,4704
201,11/30/2020,Andaman and Nicobar Islands,129389,,4710
202,12/1/2020,Andaman and Nicobar Islands,131080,,4718
203,12/2/2020,Andaman and Nicobar Islands,132784,,4723
204,12/3/2020,Andaman and Nicobar Islands,134355,,4729
205,12/4/2020,Andaman and Nicobar Islands,135952,,4742
206,12/5/2020,Andaman and Nicobar Islands,137648,,4747
207,12/6/2020,Andaman and Nicobar Islands,139326,,4758
208,12/7/2020,Andaman and Nicobar Islands,140961,,4773
209,12/8/2020,Andaman and Nicobar Islands,142667,,4778
210,12/9/2020,Andaman and Nicobar Islands,144401,,4783
211,12/10/2020,Andaman and Nicobar Islands,146143,,4791
212,12/11/2020,Andaman and Nicobar Islands,147806,,4798
213,12/12/2020,Andaman and Nicobar Islands,149926,,4805
214,12/13/2020,Andaman and Nicobar Islands,152004,,4818
215,12/14/2020,Andaman and Nicobar Islands,153685,,4834
216,12/15/2020,Andaman and Nicobar Islands,155454,,4842
217,12/16/2020,Andaman and Nicobar Islands,157242,,4850
218,12/17/2020,Andaman and Nicobar Islands,159027,,4860
219,12/18/2020,Andaman and Nicobar Islands,160856,,4869
220,12/19/2020,Andaman and Nicobar Islands,162821,,4875
221,12/20/2020,Andaman and Nicobar Islands,165024,,4881
222,12/21/2020,Andaman and Nicobar Islands,166845,,4888
223,12/22/2020,Andaman and Nicobar Islands,168769,,4893
224,12/23/2020,Andaman and Nicobar Islands,170666,,4896
225,12/24/2020,Andaman and Nicobar Islands,172756,,4901
226,12/25/2020,Andaman and Nicobar Islands,174482,,4912
227,12/26/2020,Andaman and Nicobar Islands,175578,,4912
228,12/27/2020,Andaman and Nicobar Islands,176898,,4924
229,12/28/2020,Andaman and Nicobar Islands,177926,,4929
230,12/29/2020,Andaman and Nicobar Islands,179444,,4936
231,12/30/2020,Andaman and Nicobar Islands,180626,,4941
232,12/31/2020,Andaman and Nicobar Islands,181640,,4945
233,1/1/2021,Andaman and Nicobar Islands,182631,,4946
234,1/2/2021,Andaman and Nicobar Islands,183725,,4947
235,1/3/2021,Andaman and Nicobar Islands,184955,,4948
236,1/4/2021,Andaman and Nicobar Islands,186140,,4948
237,1/5/2021,Andaman and Nicobar Islands,187115,,4949
238,1/6/2021,Andaman and Nicobar Islands,188351,,4949
239,1/7/2021,Andaman and Nicobar Islands,190031,,4958
240,1/8/2021,Andaman and Nicobar Islands,191206,,4959
241,1/9/2021,Andaman and Nicobar Islands,192560,,4959
242,1/10/2021,Andaman and Nicobar Islands,193719,,4960
243,1/11/2021,Andaman and Nicobar Islands,195351,,4963
244,1/12/2021,Andaman and Nicobar Islands,196859,,4966
245,1/13/2021,Andaman and Nicobar Islands,198478,,4969
246,1/14/2021,Andaman and Nicobar Islands,199805,,4976
247,1/15/2021,Andaman and Nicobar Islands,200953,,4979
248,1/16/2021,Andaman and Nicobar Islands,202521,,4982
249,1/17/2021,Andaman and Nicobar Islands,203741,,4983
250,1/18/2021,Andaman and Nicobar Islands,205411,,4988
251,1/19/2021,Andaman and Nicobar Islands,206732,,4989
252,1/20/2021,Andaman and Nicobar Islands,208179,,4991
253,1/21/2021,Andaman and Nicobar Islands,209437,,4991
254,1/22/2021,Andaman and Nicobar Islands,210762,,4992
255,1/23/2021,Andaman and Nicobar Islands,212393,,4993
256,1/24/2021,Andaman and Nicobar Islands,213467,,4993
257,1/25/2021,Andaman and Nicobar Islands,214915,,4994
258,1/26/2021,Andaman and Nicobar Islands,215858,,4994
259,1/27/2021,Andaman and Nicobar Islands,217007,,4994
260,1/28/2021,Andaman and Nicobar Islands,218629,,4994
261,1/29/2021,Andaman and Nicobar Islands,220484,,4994
262,1/30/2021,Andaman and Nicobar Islands,221876,,4994
263,1/31/2021,Andaman and Nicobar Islands,223137,,4994
264,2/1/2021,Andaman and Nicobar Islands,224852,,4994
265,2/2/2021,Andaman and Nicobar Islands,226584,,4994
266,2/3/2021,Andaman and Nicobar Islands,228290,,4994
267,2/4/2021,Andaman and Nicobar Islands,230133,,4994
268,2/5/2021,Andaman and Nicobar Islands,231633,,4997
269,2/6/2021,Andaman and Nicobar Islands,233597,,5000
270,2/7/2021,Andaman and Nicobar Islands,235072,,5001
271,2/8/2021,Andaman and Nicobar Islands,236643,,5005
272,2/9/2021,Andaman and Nicobar Islands,238339,,5007
273,2/10/2021,Andaman and Nicobar Islands,240362,,5007
274,2/11/2021,Andaman and Nicobar Islands,241833,,5007
275,2/12/2021,Andaman and Nicobar Islands,243631,,5007
276,2/13/2021,Andaman and Nicobar Islands,245745,,5009
277,2/14/2021,Andaman and Nicobar Islands,247289,,5009
278,2/15/2021,Andaman and Nicobar Islands,248562,,5009
279,2/16/2021,Andaman and Nicobar Islands,250037,,5013
280,2/17/2021,Andaman and Nicobar Islands,251774,,5014
281,2/18/2021,Andaman and Nicobar Islands,253718,,5014
282,2/19/2021,Andaman and Nicobar Islands,255675,,5014
283,2/20/2021,Andaman and Nicobar Islands,257213,,5014
284,2/21/2021,Andaman and Nicobar Islands,258773,,5014
285,2/22/2021,Andaman and Nicobar Islands,260324,,5015
286,2/23/2021,Andaman and Nicobar Islands,261719,,5016
287,2/24/2021,Andaman and Nicobar Islands,263090,,5016
288,2/25/2021,Andaman and Nicobar Islands,264369,,5016
289,2/26/2021,Andaman and Nicobar Islands,265852,,5017
290,2/27/2021,Andaman and Nicobar Islands,267209,,5018
291,2/28/2021,Andaman and Nicobar Islands,268499,,5020
292,3/1/2021,Andaman and Nicobar Islands,269799,,5020
293,3/2/2021,Andaman and Nicobar Islands,271193,,5020
294,3/3/2021,Andaman and Nicobar Islands,273010,,5022
295,3/4/2021,Andaman and Nicobar Islands,274849,,5024
296,3/5/2021,Andaman and Nicobar Islands,276471,,5024
297,3/6/2021,Andaman and Nicobar Islands,278437,,5024
298,3/7/2021,Andaman and Nicobar Islands,280041,,
299,3/8/2021,Andaman and Nicobar Islands,281955,,5026
300,3/9/2021,Andaman and Nicobar Islands,283492,,5028
301,3/10/2021,Andaman and Nicobar Islands,285087,,5028
302,3/11/2021,Andaman and Nicobar Islands,286505,,5028
303,3/12/2021,Andaman and Nicobar Islands,288197,,5029
304,3/13/2021,Andaman and Nicobar Islands,290341,,5030
305,3/14/2021,Andaman and Nicobar Islands,291842,,5031
306,3/15/2021,Andaman and Nicobar Islands,294094,,5031
307,3/16/2021,Andaman and Nicobar Islands,295827,,5032
308,3/17/2021,Andaman and Nicobar Islands,297433,,5035
309,3/18/2021,Andaman and Nicobar Islands,299048,,5036
310,3/19/2021,Andaman and Nicobar Islands,300892,,5038
311,3/20/2021,Andaman and Nicobar Islands,302566,,5038
312,3/21/2021,Andaman and Nicobar Islands,304391,,5039
313,3/22/2021,Andaman and Nicobar Islands,305778,,5039
314,3/23/2021,Andaman and Nicobar Islands,307255,,5039
315,3/24/2021,Andaman and Nicobar Islands,308812,,5041
316,3/25/2021,Andaman and Nicobar Islands,310615,,5042
317,3/26/2021,Andaman and Nicobar Islands,312378,,5043
318,3/27/2021,Andaman and Nicobar Islands,314309,,5044
319,3/28/2021,Andaman and Nicobar Islands,315818,,5046
320,3/29/2021,Andaman and Nicobar Islands,317137,,5052
321,3/30/2021,Andaman and Nicobar Islands,318382,,5081
322,3/31/2021,Andaman and Nicobar Islands,319864,,5083
323,4/1/2021,Andaman and Nicobar Islands,321456,,5084
324,4/2/2021,Andaman and Nicobar Islands,323001,,5084
325,4/3/2021,Andaman and Nicobar Islands,324207,,5098
326,4/4/2021,Andaman and Nicobar Islands,325826,,5109
327,4/5/2021,Andaman and Nicobar Islands,327270,,5116
328,4/6/2021,Andaman and Nicobar Islands,328737,,5123
329,4/7/2021,Andaman and Nicobar Islands,330481,,5131
330,4/8/2021,Andaman and Nicobar Islands,332119,,5149
331,4/9/2021,Andaman and Nicobar Islands,333671,,5161
332,4/10/2021,Andaman and Nicobar Islands,335784,,5175
333,4/11/2021,Andaman and Nicobar Islands,337833,,5190
334,4/12/2021,Andaman and Nicobar Islands,339482,,5201
335,4/13/2021,Andaman and Nicobar Islands,341557,,5209
336,4/14/2021,Andaman and Nicobar Islands,343431,,5247
337,4/15/2021,Andaman and Nicobar Islands,345485,,5262
338,4/16/2021,Andaman and Nicobar Islands,347489,,5289
339,4/17/2021,Andaman and Nicobar Islands,349739,,5331
340,4/18/2021,Andaman and Nicobar Islands,352086,,5390
341,4/19/2021,Andaman and Nicobar Islands,353754,,5421
342,4/20/2021,Andaman and Nicobar Islands,355507,,5466
343,4/21/2021,Andaman and Nicobar Islands,357442,,5490
344,4/22/2021,Andaman and Nicobar Islands,358903,,5527
345,4/23/2021,Andaman and Nicobar Islands,360595,,5569
346,4/24/2021,Andaman and Nicobar Islands,361594,,5614
347,4/25/2021,Andaman and Nicobar Islands,363056,,5665
348,4/26/2021,Andaman and Nicobar Islands,364735,,5716
349,4/27/2021,Andaman and Nicobar Islands,366683,,5764
350,4/28/2021,Andaman and Nicobar Islands,367689,,5816
351,4/29/2021,Andaman and Nicobar Islands,368945,,5875
352,4/30/2021,Andaman and Nicobar Islands,370896,,5949
353,5/1/2021,Andaman and Nicobar Islands,372214,,6046
354,5/2/2021,Andaman and Nicobar Islands,373007,,6084
355,5/3/2021,Andaman and Nicobar Islands,373785,,6150
356,5/4/2021,Andaman and Nicobar Islands,374428,,6181
357,5/5/2021,Andaman and Nicobar Islands,375095,,6223
358,5/6/2021,Andaman and Nicobar Islands,375477,,6255
359,5/7/2021,Andaman and Nicobar Islands,375967,,6311
360,5/8/2021,Andaman and Nicobar Islands,376536,,6341
361,5/9/2021,Andaman and Nicobar Islands,376933,,6367
362,5/10/2021,Andaman and Nicobar Islands,377293,,6398
363,5/11/2021,Andaman and Nicobar Islands,377516,,6426
364,5/12/2021,Andaman and Nicobar Islands,378060,,6470
365,5/13/2021,Andaman and Nicobar Islands,378462,,6510
366,5/14/2021,Andaman and Nicobar Islands,378887,,6542
367,5/15/2021,Andaman and Nicobar Islands,379096,,6568
368,5/16/2021,Andaman and Nicobar Islands,379674,,6603
369,5/17/2021,Andaman and Nicobar Islands,380102,,6638
370,5/18/2021,Andaman and Nicobar Islands,380395,,6674
371,5/19/2021,Andaman and Nicobar Islands,380853,,6709
372,5/20/2021,Andaman and Nicobar Islands,381349,,6758
373,5/21/2021,Andaman and Nicobar Islands,382015,,6789
374,5/22/2021,Andaman and Nicobar Islands,382640,,6820
375,5/23/2021,Andaman and Nicobar Islands,383265,,6844
376,5/24/2021,Andaman and Nicobar Islands,383396,,6853
377,5/25/2021,Andaman and Nicobar Islands,383727,,6878
378,5/26/2021,Andaman and Nicobar Islands,384188,,6901
379,5/27/2021,Andaman and Nicobar Islands,384528,,6917
380,5/28/2021,Andaman and Nicobar Islands,385020,,6936
381,5/29/2021,Andaman and Nicobar Islands,385564,,6964
382,5/30/2021,Andaman and Nicobar Islands,385988,,6984
383,5/31/2021,Andaman and Nicobar Islands,386613,,7005
384,6/1/2021,Andaman and Nicobar Islands,387348,,7018
385,6/2/2021,Andaman and Nicobar Islands,387871,,7043
386,6/3/2021,Andaman and Nicobar Islands,388486,,7070
387,6/4/2021,Andaman and Nicobar Islands,389152,,7088
388,6/5/2021,Andaman and Nicobar Islands,389785,,7105
389,6/6/2021,Andaman and Nicobar Islands,390574,,7119
390,6/7/2021,Andaman and Nicobar Islands,391273,,7131
391,6/8/2021,Andaman and Nicobar Islands,392095,,7154
392,6/9/2021,Andaman and Nicobar Islands,392974,,7168
393,6/10/2021,Andaman and Nicobar Islands,393692,,7197
394,6/11/2021,Andaman and Nicobar Islands,394822,,7233
395,6/12/2021,Andaman and Nicobar Islands,395624,,7243
396,6/13/2021,Andaman and Nicobar Islands,396534,,7261
397,6/14/2021,Andaman and Nicobar Islands,397190,,7269
398,6/15/2021,Andaman and Nicobar Islands,397953,,7280
399,6/16/2021,Andaman and Nicobar Islands,398852,,7306
400,6/17/2021,Andaman and Nicobar Islands,399580,,7335
401,6/18/2021,Andaman and Nicobar Islands,400211,,7363
402,6/19/2021,Andaman and Nicobar Islands,400997,,7394
403,6/20/2021,Andaman and Nicobar Islands,401769,,7406
404,6/21/2021,Andaman and Nicobar Islands,402629,,7415
405,6/22/2021,Andaman and Nicobar Islands,403616,,7425
406,6/23/2021,Andaman and Nicobar Islands,404494,,7438
407,6/24/2021,Andaman and Nicobar Islands,405197,,7440
408,6/25/2021,Andaman and Nicobar Islands,405887,,7441
409,6/26/2021,Andaman and Nicobar Islands,406529,,7446
410,6/27/2021,Andaman and Nicobar Islands,407488,,7455
411,6/28/2021,Andaman and Nicobar Islands,408220,,7462
412,6/29/2021,Andaman and Nicobar Islands,409212,,7466
413,6/30/2021,Andaman and Nicobar Islands,409890,,7467
414,7/1/2021,Andaman and Nicobar Islands,410741,,7469
415,7/2/2021,Andaman and Nicobar Islands,411442,,7475
416,7/3/2021,Andaman and Nicobar Islands,412361,,7478
417,7/4/2021,Andaman and Nicobar Islands,413316,,7482
418,7/5/2021,Andaman and Nicobar Islands,414166,,7482
419,7/6/2021,Andaman and Nicobar Islands,415066,,7487
420,7/7/2021,Andaman and Nicobar Islands,416065,,7491
421,7/8/2021,Andaman and Nicobar Islands,416815,,7492
422,7/9/2021,Andaman and Nicobar Islands,417598,,7492
423,7/10/2021,Andaman and Nicobar Islands,418550,,7492
424,7/11/2021,Andaman and Nicobar Islands,419287,,7492
425,7/12/2021,Andaman and Nicobar Islands,420157,,7493
426,7/13/2021,Andaman and Nicobar Islands,421108,,7496
427,7/14/2021,Andaman and Nicobar Islands,421940,,7499
428,7/15/2021,Andaman and Nicobar Islands,422876,,7501
429,7/16/2021,Andaman and Nicobar Islands,423910,,7505
430,7/17/2021,Andaman and Nicobar Islands,425268,,7506
431,7/18/2021,Andaman and Nicobar Islands,426511,,7510
432,7/19/2021,Andaman and Nicobar Islands,427711,,7516
433,7/20/2021,Andaman and Nicobar Islands,428751,,
434,7/21/2021,Andaman and Nicobar Islands,429739,,
435,7/22/2021,Andaman and Nicobar Islands,430415,,
436,7/23/2021,Andaman and Nicobar Islands,431486,,
437,7/24/2021,Andaman and Nicobar Islands,432627,,
438,7/25/2021,Andaman and Nicobar Islands,433596,,
439,7/26/2021,Andaman and Nicobar Islands,434929,,
440,7/27/2021,Andaman and Nicobar Islands,436240,,
441,7/28/2021,Andaman and Nicobar Islands,437301,,
442,7/29/2021,Andaman and Nicobar Islands,438456,,
443,7/30/2021,Andaman and Nicobar Islands,439639,,
444,7/31/2021,Andaman and Nicobar Islands,440870,,
445,8/1/2021,Andaman and Nicobar Islands,442063,,
446,8/2/2021,Andaman and Nicobar Islands,443192,,
447,8/3/2021,Andaman and Nicobar Islands,444838,,
448,8/4/2021,Andaman and Nicobar Islands,445987,,
449,8/5/2021,Andaman and Nicobar Islands,447339,,
450,8/6/2021,Andaman and Nicobar Islands,448882,,
451,8/7/2021,Andaman and Nicobar Islands,450208,,
452,8/8/2021,Andaman and Nicobar Islands,451415,,
453,8/9/2021,Andaman and Nicobar Islands,452587,,
454,4/2/2020,Andhra Pradesh,1800,1175,132
455,4/10/2020,Andhra Pradesh,6374,6009,365
456,4/11/2020,Andhra Pradesh,6958,6577,381
457,4/12/2020,Andhra Pradesh,6958,6553,405
458,4/13/2020,Andhra Pradesh,8755,8323,432
459,4/14/2020,Andhra Pradesh,10505,10032,473
460,4/15/2020,Andhra Pradesh,11613,11088,525
461,4/16/2020,Andhra Pradesh,20235,19701,534
462,4/17/2020,Andhra Pradesh,20235,,572
463,4/18/2020,Andhra Pradesh,21450,20487,603
464,4/19/2020,Andhra Pradesh,26958,26311,647
465,4/20/2020,Andhra Pradesh,30733,30011,722
466,4/21/2020,Andhra Pradesh,35755,34998,757
467,4/22/2020,Andhra Pradesh,41512,40699,813
468,4/23/2020,Andhra Pradesh,48032,47139,893
469,4/24/2020,Andhra Pradesh,54338,53383,955
470,4/25/2020,Andhra Pradesh,61266,60250,1016
471,4/26/2020,Andhra Pradesh,68034,66937,1097
